"AEROVENTAS, S.A.",AEV
"AEROVIAS CARIBE, S.A.",CBE
"AEROVIAS CASTILLO, S.A.",CLL
AEROVIAS DAP,DAP
"AEROVIAS DE MEXICO, S.A. DE C.V.",AMX
AEROVIAS DEL CONTINENTE AMERICANO S.A.,AVA
"AEROVIAS DEL GOLFO, S.A. DE C.V.",GFO
"AEROVIC, C.A.",OVC
AEROVILLA LTDA.,VVG
AEROVIP,RVP
AEROVIP S.A. (AIR CLASS),QCL
AEROVIS AIRLINES LTD,VIZ
AEROVISTA (T),VTZ
"AEROVITRO, S.A. DE C.V.",VRO
"AEROVUELOX, S.A. DE C.V.",VUO
AEROWORLD PAKISTAN PRIVATE LTD,AWP
"AEROXTRA, S.A. DE C.V.",RXT
AF-AIR INTERNATIONAL,FAN
AFGHAN JET INTERNATIONAL AIRLINES,AJA
"AFI FLIGHT INSPECTION GMBH, BRAUNSCHWEIG",FII
"AFIT GMBH, PULLACH",KIE
AFRA AIRLINES LIMITED,UAG
AFRIC AVIATION,EKG
AFRICA AIRWAYS,AFF
AFRICA CHARTER AIRLINES CC,FSK
AFRICA CHARTERED SERVICES,AFY
AFRICA FREIGHT SERVICES (Z) LIMITED,AFZ
AFRICA ONE,CFR
AFRICA ONE (ZAMBIA) LTD,AZL
AFRICA WEST,WTA
AFRICA WORLD AIRLINES LIMITED,AFW
AFRICA'S CONNECTION STP,ACH
AFRICAIR SERVICE,FFB
AFRICAN AIRLINES CORPORATION,AAW
AFRICAN AIRLINES INTERNATIONAL LIMITED,AIK
AFRICAN ALLIANCE AIRLINES,JAY
AFRICAN BUSINESS AND TRANSPORTATIONS,ABB
AFRICAN COMPANY AIRLINES,FPY
AFRICAN EXPRESS AIRWAYS,AXK
AFRICAN INTERNATIONAL AIRWAYS (PTY) LTD,AIN
AFRICAN MEDICAL AND RESEARCH FOUNDATION (AMREF),FDS
AFRICAN SAFARI AIRWAYS LTD.,QSC
AFRICAN TRANSPORT TRADING AND INVESTMENT CO. (ATTICO),ETC
AFRICAN WEST AIR (AWA),AFC
AFRICAONE,AFI
AFRIJET AIRLINES,FRJ
AFRIJET BUSINESS SERVICES (ABS),ABS
AFRIK AIRWAYS,CIW
AFRIKA AVIATION HANDLERS LIMITED,FRK
AFRIQUE CARGO SERVICE SENEGAL,NFS
AFRIQUE CHART'AIR,FRQ
AFRO INTERNATIONAL ENT. LIMITED,AOR
AG AIR LTD,AGA
"AG-RAUM GMBH, WARNGAU",FAR
AGENCE NATIONALE DES AERODROMES ET DE LA METEOROLOGIE (ANAM),ZZM
"AGRICOLAIR, S.L.",AGD
